episode,iterations,epsilon,time,car_avg,car_min,car_max,car_cumulative,car_reproductions,car_table_size,her_avg,her_min,her_max,her_cumulative,her_reproductions,her_table_size
1,1239,1,15.8332998752594,-0.1041897641320889,-100,100,-1934.803919932891,1,295,-0.10520073012724099,-100,10,-1770.3178865812113,0,401
2,1244,1,15.526508569717407,-0.11341178115705125,-100,100,-2100.8398341532175,1,427,-0.08286720503758338,-100,10,-1426.3932003119228,0,514
3,1239,1,16.000999927520752,-0.11915256442503325,-100,10,-2124.966833956043,0,491,-0.07280565455422132,-100,10,-1401.9456840960856,0,621
4,1233,1,14.053103923797607,-0.11271885917597357,-100,100,-2130.3864384259005,2,548,-0.1274435872869082,-100,10,-1847.167354136447,0,652
5,1242,1,15.330000162124634,-0.11883756012193569,-100,10,-2080.60800261485,0,598,-0.10095027659933126,-100,10,-1733.2152989339183,0,683
6,1239,1,14.571002006530762,-0.11774311813208682,-100,100,-2131.3859244270357,2,628,-0.11709624148689994,-100,10,-1852.5796365642439,0,698
7,1233,1,14.803278684616089,-0.10599362266721647,-100,10,-1927.6000218259987,0,662,-0.10523662386346712,-100,10,-1738.7194994722038,0,726
8,1249,1,15.835002660751343,-0.1100327942689734,-100,100,-2044.8494486946017,1,685,-0.07143098986391357,-100,100,-1310.0443541041748,1,756
9,1248,1,15.853017330169678,-0.11823339105672588,-100,100,-2099.5885583853383,1,722,-0.0834199133811267,-100,100,-1553.3622070699603,1,770
10,1240,1,15.362987995147705,-0.11538684262737862,-100,10,-2105.463717421778,0,760,-0.06465986915992145,-100,100,-1189.5476129350748,1,796
1,1630,1,19.507163524627686,-0.09592718065622183,-100,100,-1897.7274149220364,1,473,-0.051074733879905174,-100,100,-1067.8705359610574,1,568
2,1248,1,14.402142763137817,-0.09421897417233159,-100,100,-1969.8360930209365,2,613,-0.08788105814319605,-100,100,-1270.0570522854694,1,713
3,1641,1,18.85211968421936,-0.09564566588690558,-100,100,-1964.0837489876062,2,740,-0.08435905192770167,-100,100,-1555.0747632352525,3,840
4,2031,1,20.1920006275177,-0.08641297135684609,-100,10,-1822.1903270018133,0,860,-0.044415971521027706,-100,100,-929.4486200490257,2,950
5,1641,1,17.05414390563965,-0.09778890293742444,-100,100,-1972.2065944419762,2,899,-0.08666351969454918,-100,10,-1431.941335913036,0,1016
6,1638,1,15.65598750114441,-0.08524665755791375,-100,100,-1913.6169688600478,2,950,-0.09629625997196592,-100,100,-1375.784666219477,1,1051
7,1432,1,15.901001691818237,-0.08310117706569943,-100,100,-1727.8396735500226,3,1007,-0.12932795126372335,-100,100,-1854.562821121793,1,1069
8,1246,1,15.295986413955688,-0.09412851053796735,-100,100,-1934.811534107919,1,1066,-0.07907820179067107,-100,10,-1190.2060151513904,0,1164
9,1628,1,17.24632501602173,-0.09143253830848892,-100,100,-1905.1798007339837,3,1130,-0.10084130512866905,-100,10,-1438.1986937450781,0,1211
10,2033,1,22.22952675819397,-0.09286348958983949,-100,10,-1841.1115446081576,0,1182,-0.04448356456745792,-100,100,-1065.7817234717243,1,1271
11,1638,1,15.251987218856812,-0.08959133119761478,-100,100,-1953.359794101595,1,1223,-0.11669364985499614,-100,10,-1577.3480650899828,0,1304
1,2377,1,19.640514135360718,-0.07781763433520537,-100,100,-1868.712670925622,3,681,-0.010438824039770893,-100,100,-235.46855386511203,11,743
2,1054,1,9.534989595413208,-0.03465624877647566,-100,100,-739.4257238948848,4,921,-0.2381052262628052,-100,10,-1913.1754930216398,0,823
3,2038,1,16.828993320465088,-0.07183748287365663,-100,100,-1784.6585870302517,2,1089,-0.01353822543402792,-100,100,-273.8783005303848,14,1087
4,1631,1,13.602684497833252,-0.08757393492179348,-100,100,-1936.7851447303847,2,1166,-0.05512344300164787,-100,100,-831.2615204648499,5,1164
5,1649,1,13.949422597885132,-0.08888699729079255,-100,100,-1977.7356897201344,1,1248,-0.07013285895662592,-100,100,-1111.1850173087812,2,1258
6,2032,1,13.248162031173706,-0.07539656017703324,-100,100,-1894.263177887783,4,1357,-0.09231192808873534,-100,100,-1094.9117790604898,8,1356
7,1633,1,13.074986934661865,-0.07765842737473555,-100,100,-1828.4676725381487,5,1446,-0.08993865995113882,-100,100,-1186.8305567152279,4,1430
8,1146,1,9.745676279067993,-0.04364496252482867,-100,100,-963.8989973608411,4,1516,-0.21239336098778808,-100,10,-1818.7243501384294,0,1478
9,1447,1,10.530967712402344,-0.07427997580571051,-100,100,-1809.014530772274,5,1564,-0.21315177757156115,-100,100,-1759.3547720756658,1,1519
10,2031,1,18.972679615020752,-0.0841378519955186,-100,100,-1892.0920156752222,2,1628,-0.023903794071930117,-100,100,-547.0861349242646,8,1633
11,1811,1,16.085176944732666,-0.07440773489345075,-100,100,-1844.7909712133244,4,1682,-0.06501206941380815,-100,100,-1156.5647148716469,6,1710
12,1999,1,17.151970386505127,-0.08266539197786843,-100,100,-1892.6241493332977,2,1727,0.01843110880722866,-100,100,394.75748843322344,16,1782
13,2030,1,16.63711380958557,-0.08152315820081144,-100,100,-1864.3531048943566,2,1757,-0.04951429476651492,-100,100,-961.7656615447859,7,1834
14,2040,1,15.792687177658081,-0.07890088918705361,-100,100,-1891.096512035301,4,1820,-0.023666855075762532,-100,100,-412.7262856662228,9,1902
15,1633,1,12.372398138046265,-0.07137273369015155,-100,100,-1660.4866493013758,3,1845,-0.10401230206539068,-100,100,-1321.9963592511156,1,1947
16,1326,1,10.740537405014038,-0.08330684303322497,-100,100,-1922.4720166777327,6,1878,-0.1414832493966456,-100,100,-1341.827137277787,3,1988
17,2035,1,16.607991695404053,-0.07809249033684469,-100,100,-1845.9502865823347,3,1915,-0.013101787923588728,-100,100,-249.02568306365094,13,2030
18,1648,1,13.137999773025513,-0.07725086567793271,-100,100,-1802.3399471318482,2,1952,-0.09750533741395526,-100,100,-1318.1746564992611,2,2049
19,1790,1,13.232988357543945,-0.09132905314252397,-100,100,-2150.342556240727,4,1970,-0.09831164294954076,-100,100,-1196.9442529106586,4,2075
20,1416,1,14.537010669708252,-0.08528571935187976,-100,100,-1896.0721126309907,5,1989,-0.027661488224377057,-100,100,-457.02310844315775,9,2095
21,1388,1,11.702028036117554,-0.08771237166016452,-100,100,-1975.808884016866,3,2061,-0.10886114092774779,-100,100,-1168.1889032956615,2,2113
22,1627,1,16.610876321792603,-0.07987752356013963,-100,100,-1812.5807646266887,4,2079,-0.022369282781139508,-100,100,-446.84879283604283,9,2166
23,1795,1,14.94398832321167,-0.08001417284565769,-100,100,-1914.4991136780516,5,2108,-0.10037819086506057,-100,100,-1357.0127623047538,4,2199
24,1745,1,12.33426022529602,-0.08498087077167187,-100,100,-2029.5131557690675,6,2146,-0.1572756055078766,-100,100,-1491.6018426367016,4,2220
25,2511,1,20.884111881256104,-0.0780046302218819,-100,100,-1873.4372040389376,3,2158,0.0025561974035543714,-100,100,60.98064525919309,15,2247
26,1644,1,14.163345098495483,-0.07860767822965989,-100,100,-1855.0625985417437,3,2175,-0.05963520720154739,-100,100,-951.8971773510995,6,2266
27,1642,1,14.969988107681274,-0.07599173388405167,-100,100,-1794.5447956718801,2,2209,-0.038522743884259206,-100,100,-687.8621147973324,7,2295
28,1631,1,15.680989503860474,-0.07972895042849877,-100,100,-1817.8997987202004,4,2237,-0.03658831492975149,-100,100,-652.808714976626,7,2341
29,1936,1,14.27698802947998,-0.0798223145285058,-100,100,-1908.8708296346877,5,2251,-0.10497893278406903,-100,100,-1382.7825026317573,4,2361
30,1425,1,15.067299127578735,-0.07591577104494196,-100,100,-1850.2950876783705,4,2283,-0.07687943489929214,-100,100,-1221.614220549752,7,2384
31,820,1,8.969950437545776,0.015438601141425807,-100,100,325.0751856338618,9,2309,-0.2830598605766255,-100,100,-1894.236586978778,2,2391
32,2025,1,15.396772623062134,-0.07804107836490654,-100,100,-1844.344804997836,3,2319,-0.05888578713429988,-100,100,-971.1444014188736,8,2423
33,4048,1,49.69311285018921,-0.0704435641428877,-100,100,-1836.111499384368,3,2332,0.06552835571402789,-100,100,4946.866629563394,57,2640
34,1634,1,15.7285635471344,-0.07970339276067562,-100,100,-1784.319853733245,2,2348,-0.059031859545998475,-100,100,-977.9217852390108,4,2650
1,1426,1,13.60027003288269,-0.08599306977746728,-100,100,-1960.4700047866988,4,607,-0.15456415793367634,-100,100,-1722.3084118549555,1,583
2,2047,0.9,16.127000093460083,-0.07799091292418939,-100,100,-1941.0378408572253,2,772,-0.044181597843089074,-100,100,-776.8008532771921,9,966
3,2032,0.81,17.61198902130127,-0.07514960439588984,-100,100,-1807.7237337431302,2,991,0.004164657638909623,-100,100,81.56065520040605,14,1158
4,955,0.7290000000000001,9.97701096534729,-0.01097779821169644,-100,100,-248.96548564306357,9,1152,-0.2323370710059338,-100,100,-1702.5660563314827,7,1234
5,9645,0.6561000000000001,86.20357584953308,-0.024665557219477288,-100,100,-1244.0813750359955,12,1473,0.04124682978716024,-100,100,8525.71971700602,152,2256
6,951,0.5904900000000002,10.586990594863892,-0.013992843876084326,-100,100,-317.4556490167251,8,1593,-0.23816992182467814,-100,100,-1684.5758570659484,8,2282
7,941,0.5314410000000002,10.578211307525635,-0.022638000985682857,-100,100,-510.8264922419337,8,1701,-0.22925133275314097,-100,100,-1660.467403131,8,2315
8,971,0.47829690000000014,10.966684103012085,0.003477333977349009,-100,100,78.45560919694834,6,1822,-0.18938734344798952,-100,100,-1604.4895736913672,11,2378
9,1428,0.43046721000000016,11.642404317855835,-0.06645833988195078,-100,100,-1756.560381419841,9,1895,-0.07417633786124758,-100,100,-579.0946696827599,14,2425
10,450,0.38742048900000015,5.799832105636597,0.09457246532691928,-1.7784241671746894,100,1089.3802281007831,9,1944,-0.38815475501591895,-100,100,-1788.2289563583386,5,2434
11,19686,0.34867844010000015,157.57647323608398,0.015548794245969,-100,100,2304.782222285739,78,2552,0.03886965321615765,-100,100,12025.72652993415,376,3480
