episode,iterations,epsilon,time,car_avg,car_min,car_max,car_cumulative,car_reproductions,car_table_size,her_avg,her_min,her_max,her_cumulative,her_reproductions,her_table_size
1,2424,1,17.691660165786743,-0.07245476190712274,-100,100,-1805.2103929159632,1,724,-0.057498365652700216,-100,100,-1075.4494311681049,7,782
2,1639,0.9,12.394241571426392,-0.0820791822939481,-100,100,-1868.9429808331984,4,994,-0.11375944448876746,-100,100,-1352.0309977490012,2,990
3,4728,0.81,50.15166091918945,-0.05446581777840265,-100,100,-1638.8219911343572,10,1228,0.046424853298395984,-100,100,4710.544164775047,74,1895
4,2427,0.7290000000000001,20.46575951576233,-0.05979509409362515,-100,100,-1702.366328845508,7,1431,0.04467022749170284,-100,100,1049.0356224151494,31,1992
5,748,0.6561000000000001,7.346910715103149,0.015088370587272288,-100,100,253.71095142498353,4,1558,-0.29516493195661336,-100,100,-1788.4043227251204,3,2007
6,873,0.5904900000000002,9.080268144607544,-0.01061798551601851,-100,100,-226.94882241937967,6,1705,-0.2632177182013799,-100,100,-1707.756555690553,10,2032
7,2047,0.5314410000000002,15.619085550308228,-0.06241370359729092,-100,100,-1840.0183957517336,9,1812,0.025746723858315827,-100,100,375.078273167945,28,2163
8,737,0.47829690000000014,7.383009195327759,0.01698046032787079,-100,100,310.012264205937,8,1955,-0.3207519700972105,-100,100,-1709.608000618132,6,2183
9,1058,0.43046721000000016,9.486178159713745,-0.03529199914587487,-100,100,-880.6412546870157,8,2092,-0.300148581003704,-100,100,-1762.4724676537498,8,2218
10,25593,0.38742048900000015,178.54901266098022,0.016378338674499247,-100,100,3037.0025837350463,84,2599,0.04633483678830855,-100,100,17845.399040649154,474,3114
11,5172,0.34867844010000015,46.27868461608887,-0.015186852562468942,-100,100,-790.8553471905701,29,2793,0.011557618390001051,-100,100,813.066896118184,92,3423
12,493,0.31381059609000017,5.675987720489502,0.08225789487779378,-1.8413005985847875,100,1098.3074124083025,10,2886,-0.4510013198475807,-100,100,-1835.1243704598057,5,3427
13,452,0.28242953648100017,5.4680492877960205,0.1085204432917312,-1.8452198406168698,100,1409.463517473005,12,2907,-0.5200685471369,-100,100,-1825.4406004505188,5,3435
14,499,0.25418658283290013,6.306793451309204,0.09120041094774031,-1.5333969687831477,100,1295.5930379235988,11,2979,-0.43017975307987527,-100,100,-1795.1401096023194,6,3440
15,601,0.22876792454961012,7.896117687225342,0.07150285274596734,-1.9,100,1200.8904118685214,11,3062,-0.31397274293619193,-100,100,-1755.1076330133128,5,3445
16,421,0.2058911320946491,5.906152963638306,0.1172925842934528,-1.5630799851336732,100,1493.1345980556541,14,3183,-0.490262395802161,-100,100,-1841.4255586329168,8,3450
17,1141,0.1853020188851842,10.628896713256836,-0.020855719936691303,-100,100,-556.2637621514305,11,3236,-0.24696206466490372,-100,100,-1613.8970925851459,12,3453
18,804,0.16677181699666577,8.493063688278198,0.022099673544551123,-100,100,467.54069350852353,9,3382,-0.3197463935034728,-100,100,-1798.253717063531,10,3458
19,575,0.1500946352969992,6.942613840103149,0.09763378855347513,-1.4626516759158004,100,1754.3815465173946,13,3461,-0.5290924757362853,-100,100,-1811.6126369210406,5,3463
20,539,0.13508517176729928,6.213653326034546,0.0810267608051482,-1.6328667637697143,100,1137.858801986696,9,3497,-0.3602054070281234,-100,100,-1717.0991753030644,9,3470
21,628,0.12157665459056936,6.929569721221924,0.07045232502622198,-100,100,1194.8714324447249,9,3534,-0.4260834367675946,-100,100,-1795.9416859754112,5,3471
22,9012,0.10941898913151243,69.8784110546112,-0.007896686324340416,-100,100,-666.685639618764,47,3644,0.04092898292095755,-100,100,4827.6963224757055,173,3682
23,635,0.0984770902183612,7.5081000328063965,0.054235541738323303,-100,100,971.4127880751087,11,3702,-0.36618345596199775,-100,100,-1757.6805886175891,7,3688
24,498,0.08862938119652508,7.0818586349487305,0.10490056579306187,-1.8093162753895318,100,1470.7059324187273,13,3728,-0.31870316560746303,-100,100,-1730.5581892485243,9,3696
25,603,0.07976644307687257,6.524955749511719,0.07252466093373183,-1.4797336765258284,100,1209.3487210699784,9,3765,-0.5381976205727873,-100,100,-1833.1010956709135,2,3698
26,449,0.07178979876918531,5.219367265701294,0.08611416623623659,-1.9,100,971.7122518096937,8,3803,-0.44742498949089526,-100,100,-1806.2546825747443,7,3701
27,600,0.06461081889226679,7.144016265869141,0.08996039911576229,-1.8515820580187845,100,1634.6704123325164,12,3854,-0.5580517231225225,-100,100,-1863.3347035061026,4,3703
28,563,0.05814973700304011,6.968947887420654,0.08612472421781192,-1.7,100,1357.4979031211515,12,3888,-0.37250973845914553,-100,100,-1740.7380078195872,7,3708
29,450,0.0523347633027361,5.0892510414123535,0.08582604042262802,-1.822520792622127,100,1074.1128958891898,9,3949,-0.6805425487111588,-100,100,-1902.1164236476889,3,3715
30,357,0.04710128697246249,4.175017356872559,0.14446404102232846,-1.7136706291103878,100,1535.6527560673517,12,3977,-0.9557520414681433,-100,100,-1910.5483308948185,3,3720
31,476,0.042391158275216244,6.625858783721924,0.09357046262282008,-2.0,100,1176.1807151688483,10,4011,-0.31681227462490325,-100,100,-1740.2498245145935,7,3722
32,1228,0.03815204244769462,11.291452646255493,-0.02855836502500365,-100,100,-780.7000246885248,12,4036,-0.2540728402876081,-100,100,-1673.0696532938994,9,3725
33,587,0.03433683820292516,6.810063600540161,0.06639338294853242,-1.9,100,1091.507215673873,9,4105,-0.4561224579372885,-100,100,-1839.5418728610846,6,3726
34,482,0.030903154382632643,5.8210837841033936,0.08010734145720033,-1.8,100,1008.7116436290667,9,4127,-0.46559157674678747,-100,100,-1873.074913252326,3,3729
35,363,0.02781283894436938,4.29583215713501,0.1125427884121386,-1.637970299464553,100,1172.2456841008357,10,4137,-0.8750131064875426,-100,10,-1965.2794371710206,0,3731
36,457,0.025031555049932444,5.341721057891846,0.09681905914960587,-1.0,100,1288.177581985506,11,4140,-0.7211478294209064,-100,100,-1914.6474871125065,1,3732
37,6095,0.0225283995449392,64.11176776885986,-0.016891149990913557,-100,100,-862.4283362360644,24,4200,0.070631291269229,-100,100,7273.257218448856,133,3877
38,458,0.020275559590445278,4.872987270355225,0.09829605818794486,-2.0,100,1190.4635607142002,9,4225,-0.6218730280849536,-100,100,-1940.2438476250552,2,3882
39,397,0.01824800363140075,5.242961883544922,0.13373166553548752,-1.9310420913947879,100,1401.5078548119093,11,4260,-0.40920152627218,-100,100,-1834.0412407519107,8,3884
40,490,0.016423203268260675,5.368904113769531,0.08801828185200963,-1.6632882092621486,100,1121.9690387675669,9,4297,-0.5829205956693766,-100,100,-1891.5773329471272,3,3891
41,473,0.014780882941434608,5.4774627685546875,0.09195878065121531,-1.9204390492731307,100,1165.3016684122003,10,4308,-0.5281381869131175,-100,100,-1887.565880027482,4,3893
42,523,0.013302794647291147,5.444820404052734,0.06773801254018279,-1.7363430230762467,100,945.0130129480901,7,4336,-0.6952889974551183,-100,100,-1923.1693669608574,3,3897
43,657,0.011972515182562033,7.321683168411255,0.04965528738184637,-100,100,898.4131145997465,10,4444,-0.4425795935865693,-100,100,-1875.209738026294,3,3898
44,486,0.01077526366430583,5.753141164779663,0.07501284373324403,-1.853038140960592,100,925.4334531370316,8,4461,-0.46943915412377746,-100,100,-1918.1283837497547,2,3898
45,580,0.009697737297875247,7.487382888793945,0.09841931284797877,-1.8377216228999431,100,1618.4071804721627,11,4482,-0.38463825395378315,-100,100,-1810.4922613604574,7,3904
46,292,0.008727963568087723,4.073003530502319,0.1736304085523384,-1.594622543532714,100,1431.2354576969256,13,4489,-0.669462594626742,-100,100,-1879.8509657118914,5,3906
47,319,0.00785516721127895,3.738215923309326,0.10085983938190057,-1.920652780857865,100,829.4713190767503,7,4514,-0.7250869069563655,-100,100,-1908.4287391091539,2,3908
48,457,0.007069650490151055,5.189287424087524,0.08351960243946288,-2.0,100,1043.995030493286,10,4534,-0.5778708689757835,-100,100,-1843.4080720327495,4,3915
