episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
1,0,30.727999210357666,0.0040091503612652585,0,0.05033012514219637,0.010227558891207762,0,0.09640018934986672
2,1,37.38093590736389,0.02389173818907695,0,100,0.048935967304443405,0,10
3,0.99,42.28135657310486,0.010733627257897331,0,10,0.07638372656702028,0,100
4,0.9801,46.812355518341064,0.00987848856776391,0,10,0.09773815415588563,0,100
5,0.9702989999999999,52.81735682487488,0.0246820485381142,0,100,0.0570298568900337,0,10
6,0.96059601,56.08137559890747,0.0430271356375192,0,100,0.032928986409583326,0,10
7,0.9509900498999999,63.11335825920105,0.01240926073270123,0,10,0.10021842329618022,0,100
8,0.9414801494009999,70.26335620880127,0.01178293377008987,0,10,0.04583067803828482,0,10
9,0.9320653479069899,76.23935723304749,0.036787284413951085,0,100,0.058137038736289136,0,10
10,0.92274469442792,81.46935749053955,0.023341299321729778,0,100,0.07374202957622548,0,10
11,0.9135172474836407,86.89335680007935,0.02224210854598728,0,100,0.053092231005660524,0,10
12,0.9043820750088043,94.1390118598938,0.04982754243710336,0,100,0.10571424480816757,0,100
13,0.8953382542587163,97.83658051490784,0.08466121231515769,0,100,0.03898863540513921,0,10
14,0.8863848717161291,106.0108323097229,0.01192478184977969,0,10,0.056909654678406245,0,10
15,0.8775210229989678,115.40884494781494,0.025127891084507657,0,100,0.15549015857592696,0,100
16,0.8687458127689781,123.84983372688293,0.02457628504828285,0,100,0.07641303919406725,0,100
17,0.8600583546412883,130.98700881004333,0.02863557342080101,0,100,0.06667173680691324,0,10
18,0.8514577710948754,139.7550027370453,0.02410836117210899,0,100,0.11153784673616736,0,100
19,0.8429431933839266,148.25202298164368,0.024173116313988337,0,100,0.0539043541537118,0,10
20,0.8345137614500874,155.92649602890015,0.04188853519294998,0,100,0.05180192573650833,0,10
21,0.8261686238355865,166.3154957294464,0.006284999019033207,0,10,0.10853434210507464,0,100
22,0.8179069375972307,175.45049953460693,0.027039821806962874,0,100,0.14959926036877152,0,100
23,0.8097278682212583,185.84449648857117,0.023996571647854296,0,100,0.1910147618217317,0,100
24,0.8016305895390458,198.0721733570099,0.013921666086662466,0,10,0.14686467146540985,0,100
25,0.7936142836436553,209.14863204956055,0.02488271782182262,0,100,0.21036594551782337,0.0,100
26,0.7856781408072188,227.07463836669922,0.02601477058234683,0,100,0.23265485016726686,0,100
27,0.7778213593991465,243.6760892868042,0.024394346163688966,0,100,0.20867265217819683,0,100
28,0.7700431458051551,257.1060903072357,0.0230593281948536,0,100,0.0897356829444107,0,100
29,0.7623427143471035,272.68409061431885,0.010967673057549069,0,10,0.1720927685212499,0,100
30,0.7547192872036325,286.2460880279541,0.025763124171299195,0,100,0.2370162268602751,0,100
31,0.7471720943315961,296.5201406478882,0.0035687051362628492,0,0.46342342160086925,0.023670749653809827,0,10
32,0.7397003733882802,310.46714091300964,0.008597726552990733,0,10,0.05153793982971664,0,10
33,0.7323033696543974,321.0091407299042,0.05630702591362053,0,100,0.028085775495781364,0,10
34,0.7249803359578534,337.97213983535767,0.023093238407892184,0,100,0.2166074006034652,0,100
35,0.7177305325982748,354.3202574253082,0.010984726623003437,0,10,0.08864612351685032,0,100
36,0.7105532272722921,359.4462044239044,0.1767025406162889,0,100,0.12353214227053197,0,100
37,0.7034476949995692,378.14920449256897,0.024811146581623773,0,100,0.13429363123447763,0,100
38,0.6964132180495735,393.3352198600769,0.013742708294207052,0,10,0.08118268482230037,0,100
39,0.6894490858690777,407.9464490413666,0.023476477128885072,0,100,0.08862653783395948,0,100
40,0.682554595010387,421.71945309638977,0.0389297457802113,0,100,0.05327352645735196,0,10
41,0.6757290490602831,429.14445996284485,0.040926204063235404,0,100,0.07025410160569139,0,10
42,0.6689717585696803,445.3484687805176,0.04773223026964229,0,100,0.28201691190631306,0,100
43,0.6622820409839835,463.55934381484985,0.03812057687171983,0,100,0.18359258566803152,0,100
44,0.6556592205741436,477.2743456363678,0.036314914364542664,0,100,0.09620485323949941,0,100
45,0.6491026283684022,489.15335631370544,0.016913733468268546,0,10,0.04919568358634736,0,10
46,0.6426116020847181,506.4408760070801,0.037003306913718045,0,100,0.05353592352898152,0,10
47,0.6361854860638709,520.9738721847534,0.024634120125506195,0,100,0.24702779383990053,0,100
48,0.6298236312032323,535.168862581253,0.01071058845923109,0,10,0.09068928618807809,0,100
49,0.6235253948912,542.6168637275696,0.12399485979936238,0,100,0.03539818478148818,0,10
50,0.617290140942288,561.1750140190125,0.03868686610472931,0,100,0.0788394231157712,0,10
51,0.6111172395328651,576.9270014762878,0.010333033600018597,0,10,0.12108457123591189,0,100
52,0.6050060671375365,581.8590126037598,0.06928157067373872,0,100,0.03228154389541628,0,10
53,0.5989560064661611,606.8578360080719,0.02603082794573811,0,100,0.14941255248971627,0,100
54,0.5929664464014994,629.1470248699188,0.048798005262700415,0,100,0.2973596289548021,0,100
55,0.5870367819374844,646.0520231723785,0.00962202643106537,0,10,0.08321566996024873,0,100
56,0.5811664141181095,671.4971544742584,0.026461333925703708,0,100,0.23608085270291188,0,100
57,0.5753547499769285,693.7401592731476,0.03756212925605428,0,100,0.18308213842189672,0,100
58,0.5696012024771592,713.4200699329376,0.011243590759837252,0,10,0.16895880826301665,0,100
59,0.5639051904523876,722.9399719238281,0.09437163259999343,0,100,0.04306176800022615,0,10
60,0.5582661385478638,742.7266526222229,0.03861926230399335,0,100,0.06325307370060028,0,10
61,0.5526834771623851,754.7177734375,0.07432219805243788,0,100,0.032156461510165865,0,10
62,0.5471566423907612,774.5647747516632,0.009535399352432744,0,10,0.054792928248701064,0,10
63,0.5416850759668536,791.8037614822388,0.06567454893604108,0,100,0.06016236866285289,0,10
64,0.536268225207185,810.780907869339,0.023478467426580777,0,100,0.06213731838072411,0,10
65,0.5309055429551132,817.9589111804962,0.09855402008708755,0,100,0.05517778210273136,0,10
66,0.525596487525562,837.5999083518982,0.03788862174018795,0,100,0.17768602442241951,0,100
67,0.5203405226503064,853.4544901847839,0.03287386556220156,0,100,0.1730237462031626,0,100
68,0.5151371174238033,864.5914826393127,0.06291623452266039,0,100,0.06926607582362447,0,10
69,0.5099857462495653,879.1200842857361,0.03213030626915603,0,100,0.04827777248768727,0,10
70,0.5048858887870696,898.1322977542877,0.037203543521754194,0,100,0.06409524489802311,0,10
71,0.4998370298991989,910.13729596138,0.062007564858644594,0,100,0.04998738071621321,0,10
72,0.49483865960020695,931.7682979106903,0.06134448159906565,0,100,0.29463323821215914,0,100
73,0.4898902730042049,951.0812983512878,0.02378557662350171,0,100,0.051158484969479,0,10
74,0.48499137027416284,969.0678284168243,0.05874674140074257,0,100,0.10660704358707021,0,100
75,0.4801414565714212,989.3197581768036,0.03689426885728724,0,100,0.07104651095294369,0,10
76,0.475340042005707,1020.1277687549591,0.02804446854477118,0,100,0.2699332173124735,0.0,100
77,0.47058664158564995,1043.1546952724457,0.043310217187530684,0,100,0.12821708501354795,0,100
78,0.4658807751697934,1054.5497093200684,0.06211086206550831,0,100,0.05163473008686613,0,10
79,0.4612219674180955,1075.7177085876465,0.05017756147372689,0,100,0.07830814592752956,0,10
80,0.45660974774391455,1093.664734840393,0.0419790626755713,0,100,0.16074026377423759,0,100
81,0.4520436502664754,1110.8388681411743,0.0348255832698809,0.0,100,0.05037833651606147,0,10
82,0.44752321376381066,1137.8388707637787,0.013322137028432171,0,10,0.29628047899503024,0,100
83,0.44304798162617254,1164.1108560562134,0.00991214643796027,0,10,0.10103699370679453,0,100
84,0.4386175018099108,1184.9098563194275,0.04991654133798416,0,100,0.23104448745811304,0,100
85,0.4342313267918117,1208.2623326778412,0.012928976368540042,0,10,0.07407447675848866,0,10
86,0.4298890135238936,1235.2293326854706,0.007039898504178445,0,10,0.1351455708248365,0,100
87,0.42559012338865465,1265.089233636856,0.01373815621660075,0,10,0.21180451546050685,0,100
88,0.4213342221547681,1290.7281806468964,0.02399138950266479,0,100,0.08305325998570223,0,100
89,0.41712087993322045,1313.7938277721405,0.024168450996807568,0,100,0.12343535492926234,0,100
90,0.41294967113388825,1333.6578068733215,0.04978733797505087,0,100,0.0797381190174849,0,100
91,0.40882017442254937,1350.4748079776764,0.029947216980894,0,100,0.05483151280327683,0,10
92,0.4047319726783239,1374.6570837497711,0.04865444381531056,0,100,0.1304583932078771,0,100
93,0.40068465295154065,1399.8431601524353,0.0612193125935278,0.0,100,0.3601328136408936,0,100
94,0.39667780642202527,1429.9731361865997,0.011912162725059698,0,10,0.14985347531554982,0,100
95,0.392711028357805,1459.8073205947876,0.05036166221099391,0,100,0.20566518197112227,0,100
96,0.38878391807422696,1483.5223207473755,0.03577146388240081,0,100,0.059080705340394994,0,10
97,0.3848960788934847,1510.0194103717804,0.009516574903934077,0,10,0.07424611368485441,0,100
98,0.38104711810454983,1536.5864098072052,0.006292973015127021,0,10,0.16206335847534015,0,100
99,0.37723664692350434,1551.7183375358582,0.05272419551554132,0,100,0.16242219750754036,0,100
100,0.37346428045426927,1576.567474603653,0.03669515401926809,0,100,0.06041616527897248,0,10
101,0.36972963764972655,1583.7334649562836,0.16477290897926786,0,100,0.02029765517506547,0,10
102,0.36603234127322926,1609.4454815387726,0.009984742371278546,0,10,0.1229425731167187,0,100
103,0.36237201786049694,1637.744474887848,0.006364483750793463,0,10,0.1914068416396905,0,100
104,0.358748297681892,1664.0994963645935,0.03726737321244516,0,100,0.138636254518148,0,100
105,0.35516081470507305,1688.3557386398315,0.03620072549178018,0,100,0.08939944942439461,0,100
106,0.3516092065580223,1806.2531728744507,0.028596345650048892,0,100,0.2692883703607572,0,100
107,0.34809311449244207,1817.139184474945,0.07502645444088275,0,100,0.08717507999635433,0,10
108,0.34461218334751764,1848.4311842918396,0.010336777292300961,0,10,0.1437434671173809,0,100
109,0.34116606151404244,1876.6471903324127,0.02454213983309499,0,100,0.1987886796665938,0,100
110,0.337754400898902,1902.437183856964,0.023442568323973234,0,100,0.09363084280468625,0,100
111,0.334376856889913,1934.936395406723,0.007958969005766207,0,10,0.1508842676559253,0,100
112,0.33103308832101386,1972.7521710395813,0.014391334659955022,0,10,0.19785612342913741,0,100
113,0.3277227574378037,1992.6321849822998,0.027071345427034214,0.0,100,0.08634242660476324,0,10
114,0.3244455298634257,2013.4961850643158,0.015210166306872398,0,10,0.12188122048510111,0,100
115,0.3212010745647914,2044.8231854438782,0.02459797354398083,0,100,0.21428998291792029,0,100
116,0.3179890638191435,2070.663197994232,0.012495584254995995,0,10,0.17876425094348106,0,100
117,0.31480917318095203,2177.9714047908783,0.04777148425596109,0,100,0.2540600442888724,0,100
118,0.3116610814491425,2204.080392599106,0.024691976699427697,0,100,0.17565952795000386,0,100
119,0.30854447063465107,2246.5483980178833,0.02452136748627308,0,100,0.30725339124782225,0,100
120,0.30545902592830454,2277.8883850574493,0.009304677123047929,0,10,0.22553150449730597,0,100
121,0.3024044356690215,2305.2979683876038,0.03610970574220412,0,100,0.0597901167636754,0,10
122,0.29938039131233124,2375.9621772766113,0.04601359320677566,0,100,0.2115518748806497,0,100
123,0.2963865873992079,2420.463719844818,0.01254374783250763,0,10,0.3314865495567702,0,100
124,0.29342272152521587,2448.327713251114,0.036861191391236586,0,100,0.20259788474166998,0,100
125,0.2904884943099637,2479.5673122406006,0.047504857611763276,0,100,0.14511397133405846,0,100
126,0.28758360936686406,2508.3798882961273,0.04738000826327224,0,100,0.3776593841586143,0,100
127,0.2847077732731954,2534.818002462387,0.03646939608728261,0,100,0.09236683460120995,0,100
128,0.28186069554046345,2556.8051705360413,0.04886468215877822,0,100,0.06475770094217832,0,10
129,0.2790420885850588,2586.403171777725,0.02335107975929301,0,100,0.15030375440028193,0,100
130,0.2762516676992082,2617.4602217674255,0.01227735626948463,0.0,10,0.12350486718913788,0,100
131,0.27348915102221616,2642.4877605438232,0.022672376719431134,0,100,0.06426515030610033,0,10
132,0.270754259511994,2650.3517532348633,0.18588997814680938,0,100,0.029149456765238297,0,10
133,0.26804671691687404,2669.749747991562,0.05577696149116111,0,100,0.0587939331133646,0,10
134,0.2653662497477053,2696.7707471847534,0.03771437852252538,0,100,0.055195773940113185,0,10
135,0.2627125872502282,2716.946759700775,0.056585587206709746,0,100,0.12942723316182173,0,100
136,0.2600854613777259,2760.424842119217,0.0245639483796087,0,100,0.23127030113088165,0,100
137,0.2574846067639487,2798.7658421993256,0.03775468094645298,0,100,0.2835627040816786,0,100
138,0.2549097606963092,2827.0070056915283,0.021938110584632974,0,100,0.21886021688661894,0,100
139,0.2523606630893461,2854.428994178772,0.03532541774743994,0,100,0.11569185657635381,0,100
140,0.24983705645845267,2884.6019921302795,0.0365683590018492,0,100,0.20124746366645524,0,100
141,0.24733868589386815,2921.847015619278,0.011615305563453781,0,10,0.23520635991750044,0,100
142,0.24486529903492946,2949.7159938812256,0.023635415564805844,0,100,0.16406553090699996,0,100
143,0.24241664604458016,2981.7239928245544,0.00982964344250733,0,10,0.34825847404119376,0,100
144,0.23999247958413436,3017.5089871883392,0.025794551898122926,0,100,0.17402640384743462,0,100
145,0.23759255478829303,3054.799255847931,0.00982665871086958,0,10,0.2091581562201089,0,100
146,0.2352166292404101,3085.133463382721,0.007243758624982325,0,10,0.05449319510827565,0,10
147,0.232864462948006,3126.756684064865,0.013066402842458608,0,10,0.2597574164281492,0,100
148,0.23053581831852593,3153.0936839580536,0.03715178926774326,0,100,0.04534202518588616,0,10
149,0.22823046013534068,3165.3496837615967,0.08686795829247031,0,100,0.047196282452031925,0,10
150,0.22594815553398728,3173.8495814800262,0.10613508811384875,0,100,0.033483969885071706,0,10
151,0.22368867397864742,3205.812740802765,0.06718973515267136,0,100,0.24548713983695913,0,100
152,0.22145178723886094,3236.660378217697,0.0225993489170401,0,100,0.16982661751353434,0,100
153,0.21923726936647234,3274.834602832794,0.012534289951214958,0,10,0.2251146879547446,0,100
154,0.2170448966728076,3301.5566523075104,0.03483762139322741,0,100,0.24703766428420004,0,100
155,0.21487444770607952,3339.6015009880066,0.02277128660855204,0,100,0.1962182218952531,0,100
156,0.21272570322901874,3374.3370649814606,0.02327200255380784,0,100,0.21724824748384824,0,100
157,0.21059844619672854,3407.8083515167236,0.0087676816692044,0,10,0.2484742427684781,0,100
158,0.20849246173476127,3441.6415565013885,0.009332513009822158,0,10,0.24882674374876532,0,100
159,0.20640753711741366,3473.1885685920715,0.02311023391327616,0,100,0.11797494025916215,0,100
160,0.20434346174623952,3508.1687746047974,0.010245388187036927,0,10,0.16248232110999808,0,100
161,0.20230002712877712,3539.234022140503,0.05000316595124182,0,100,0.3259160661970464,0,100
162,0.20027702685748935,3568.121022462845,0.007591837990015496,0,10,0.10579949243933258,0,100
163,0.19827425658891445,3603.472022294998,0.01021390779547654,0.0,10,0.16454658413725545,0,100
164,0.1962915140230253,3637.666022539139,0.022200592052401075,0,100,0.09214615094324857,0,100
165,0.19432859888279505,3714.543184518814,0.04697991967828343,0,100,0.2864754292477411,0,100
166,0.1923853128939671,3741.219173192978,0.03544019846674595,0,100,0.07264719646156605,0,10
167,0.19046145976502743,3774.5603427886963,0.035303953801752976,0,100,0.27795343946056517,0,100
168,0.18855684516737714,3807.324343442917,0.024135095639113507,0,100,0.11344262725065433,0,100
169,0.18667127671570335,3844.0388462543488,0.03452677983628119,0,100,0.16884407433673973,0,100
170,0.18480456394854633,3888.769833803177,0.024677150578668847,0,100,0.24194291202451484,0,100
171,0.18295651830906087,3918.1430876255035,0.00948635019268488,0,10,0.06822060148338847,0,10
172,0.18112695312597027,3927.0900888442993,0.18766413842241744,0,100,0.04870872197560089,0,10
173,0.17931568359471056,3966.555243253708,0.007928806024113519,0,10,0.16850957107758233,0,100
174,0.17752252675876345,4005.090938806534,0.011715219025629995,0,10,0.28823277925415336,0,100
175,0.17574730149117582,4033.2860321998596,0.008833164488665666,0,10,0.05922940725498584,0,10
176,0.17398982847626407,4064.1560323238373,0.022698772115438966,0,100,0.1340424454901744,0,100
177,0.17224993019150142,4089.6351583004,0.04869510476791188,0,100,0.192663075418485,0,100
178,0.1705274308895864,4120.237197637558,0.02419789009668059,0,100,0.3754248560241935,0,100
179,0.16882215658069055,4159.111212015152,0.024927239357827927,0,100,0.25732977849724853,0.0,100
180,0.16713393501488363,4189.552610397339,0.034765235004135045,0,100,0.19814382217604112,0,100
181,0.16546259566473479,4218.324598073959,0.048776730635761247,0,100,0.26921533890049565,0,100
182,0.16380796970808745,4254.170610427856,0.023921811233186208,0,100,0.05226204918093339,0,10
183,0.16216989001100657,4284.722579717636,0.02207348423844382,0,100,0.09353749260900782,0,100
184,0.1605481911108965,4316.214146375656,0.03385834634076416,0,100,0.06078475052987881,0,10
185,0.15894270919978754,4357.449523687363,0.04889359587823329,0,100,0.25379327869236523,0,100
186,0.15735328210778965,4390.367522478104,0.02242420691472856,0,100,0.06706721604833614,0,10
187,0.15577974928671176,4425.4776475429535,0.0491252773895826,0,100,0.1315311201573326,0,100
188,0.15422195179384465,4469.026679992676,0.010390392669346313,0.0,10,0.21495260992105208,0,100
189,0.1526797322759062,4548.205420970917,0.014797024974808089,0,10,0.255854700898151,0,100
190,0.15115293495314713,4576.269403219223,0.036934814242250376,0,100,0.15402542803733482,0,100
191,0.14964140560361566,4615.847660064697,0.009774915412992649,0,10,0.1447941217825787,0,100
192,0.1481449915475795,4637.216671228409,0.03790194630279953,0,100,0.09837852668818603,0,100
193,0.1466635416321037,4669.641284704208,0.033886430228484435,0,100,0.088034437243892,0,100
194,0.14519690621578268,4688.493288516998,0.05558937135003987,0,100,0.06133032761858902,0,10
195,0.14374493715362485,4735.7741894721985,0.023709076791882066,0,100,0.21754663771921784,0,100
196,0.1423074877820886,4770.696732997894,0.02463595540251561,0,100,0.21505514362017425,0,100
197,0.1408844129042677,4816.063552856445,0.009376554004341668,0.0,10,0.1935600731525973,0,100
198,0.13947556877522502,4857.999540567398,0.024309997766339773,0,100,0.21817816769270043,0,100
199,0.13808081308747278,4928.0389404296875,0.025792063747259904,0,100,0.24716186624498238,0,100
200,0.13670000495659804,4988.8249406814575,0.024541805361627138,0,100,0.19216037988038223,0,100
201,0.13533300490703207,5029.587024927139,0.02339698227348948,0,100,0.07356383533399784,0.0,10
202,0.13397967485796175,5056.35192489624,0.02167381513520727,0,100,0.10680382192623677,0,100
203,0.13263987810938213,5087.721508026123,0.00958425355340486,0,10,0.06093990336169929,0,10
204,0.1313134793282883,5118.453181266785,0.022954439342040427,0,100,0.28178542220478986,0,100
205,0.13000034453500542,5160.731189966202,0.022079132194799886,0,100,0.17544186743624463,0,100
206,0.12870034108965536,5194.208785772324,0.022299474514006143,0,100,0.06624771654785987,0,10
207,0.12741333767875881,5224.862063169479,0.023169667820421187,0,100,0.06978606524019855,0,10
208,0.12613920430197123,5266.294428110123,0.010553109777201922,0,10,0.11320907529569778,0,100
209,0.12487781225895152,5297.564516782761,0.03611602171842132,0,100,0.2186691880413046,0,100
210,0.123629034136362,5336.314721107483,0.008247062009790508,0,10,0.15406479888394792,0,100
211,0.12239274379499838,5368.667787313461,0.02194488886277309,0,100,0.05825509811858216,0,10
212,0.1211688163570484,5402.862331390381,0.03530957900362564,0,100,0.13850549858313804,0,100
213,0.11995712819347792,5435.221590042114,0.022320070103234033,0,100,0.1146683018384675,0,100
