episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
459,0,10781.19723367691,-0.07439815194665203,-100,100,-0.048769330914232106,-100,100
918,0,23409.740373134613,-0.08019694917745372,-100,100,-0.03592249884077085,-100,100
1377,0,35666.446397066116,-0.07595936687396394,-100,100,-0.04931421291662125,-100,100
1836,0,48404.67687177658,-0.07615598806520477,-100,100,-0.038863169542778096,-100,100
2295,0,60817.43355059624,-0.07811487621888136,-100,100,-0.045356710485618,-100,100
2754,0,73178.08115196228,-0.07498204697008364,-100,100,-0.04274591598703246,-100,100
3213,0,84998.28568315506,-0.07112929179873181,-100,100,-0.04942542660864246,-100,100
3672,0,96122.05720639229,-0.07630499204230533,-100,100,-0.05906516133657166,-100,100
4131,0,106766.112626791,-0.07658433158957442,-100,100,-0.056110161905124814,-100,100
4590,0,117134.63730120659,-0.0728200202271829,-100,100,-0.057735018787976176,-100,100
5049,0,127513.0445625782,-0.0761731507827967,-100,100,-0.06075779645071655,-100,100
5508,0,137742.7890973091,-0.07482735013555943,-100,100,-0.06475963077962477,-100,100
