episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
459,0,21.179678916931152,-0.0584492715336913,-100,100,-0.14961268894728919,-100,100
918,0,19.10023522377014,-0.061308817183224604,-100,100,-0.1437269655263701,-100,100
1377,0,21.494194269180298,-0.056963561032698846,-100,100,-0.15463190902237167,-100,10
1836,0,23.430865049362183,-0.060559694584287165,-100,100,-0.1444674952982469,-100,100
2295,0,20.518461227416992,-0.05694993794221365,-100,100,-0.15302468907789782,-100,100
2754,0,23.606178045272827,-0.05766748196096558,-100,100,-0.15498105010098892,-100,10
3213,0,23.53606605529785,-0.060394121297983924,-100,100,-0.1469594633516151,-100,10
3672,0,22.458012342453003,-0.06221851391529457,-100,100,-0.14336715586838836,-100,100
4131,0,19.686995029449463,-0.06216016108170775,-100,100,-0.1421403660997155,-100,100
4590,0,16.093223333358765,-0.057545201327724595,-100,100,-0.15014174907311137,-100,100
5049,0,20.565017461776733,-0.056996699431956135,-100,100,-0.15713330783888896,-100,100
5508,0,21.50899362564087,-0.05791187996650109,-100,100,-0.15277498033217185,-100,100
5967,0,21.472840070724487,-0.06375425746692678,-100,100,-0.1422657004020258,-100,100
6426,0,21.442822456359863,-0.05912577865139303,-100,100,-0.15251047883743854,-100,100
6885,0,18.314162731170654,-0.056726189447962976,-100,100,-0.15353119070645532,-100,100
7344,0,21.57718253135681,-0.059840905567121586,-100,100,-0.14716976765415538,-100,100
7803,0,23.572437286376953,-0.058232121687333764,-100,100,-0.15327961026082937,-100,100
8262,0,25.782482862472534,-0.06054943947084409,-100,100,-0.14956067239109427,-100,100
8721,0,19.536003828048706,-0.05880028300624016,-100,100,-0.15160820259052732,-100,100
9180,0,8453.464169025421,-0.0571126773966389,-100,100,-0.15184897209092568,-100,100
9639,0,16894.265241146088,-0.054696462166750795,-100,100,-0.1577354960794965,-100,100
10098,0,25550.52591443062,-0.05702300400563298,-100,100,-0.15104611256549766,-100,100
10557,0,34156.22390627861,-0.05951139869456588,-100,100,-0.15150146486080965,-100,100
11016,0,42745.514571905136,-0.06163173238382086,-100,100,-0.14611482966722222,-100,100
11475,0,51212.01833987236,-0.05695333443292085,-100,100,-0.15545763331252874,-100,100
11934,0,59766.001916885376,-0.05906088204241598,-100,100,-0.14688087048520665,-100,100
12393,0,68138.02680754662,-0.05445412429243498,-100,100,-0.15796347504954222,-100,100
12852,0,77119.99102163315,-0.05917469731056934,-100,100,-0.1492720956173732,-100,100
13311,0,86117.33284807205,-0.06066857221808261,-100,100,-0.14844391157887094,-100,100
13770,0,94766.7659573555,-0.06020944058809807,-100,100,-0.1506121775852101,-100,100
14229,0,103499.9743411541,-0.05870136010859575,-100,100,-0.15015753632675488,-100,100
14688,0,112349.06523656845,-0.060680507249999405,-100,100,-0.1489578932283274,-100,100
15147,0,120782.01570272446,-0.056534470726073496,-100,100,-0.1561911882154951,-100,100
15606,0,129708.88524365425,-0.06186158504872927,-100,100,-0.1456315704231383,-100,100
16065,0,138236.46665596962,-0.058199870418407934,-100,100,-0.15354399060433632,-100,10
16524,0,146716.96879410744,-0.05940859426356577,-100,100,-0.15066551415166474,-100,100
16983,0,8756.987097024918,-0.061333110830893836,-100,100,-0.144471332174418,-100,100
17442,0,17234.786431074142,-0.061349280904349365,-100,100,-0.14861962150580177,-100,100
17901,0,25758.462814807892,-0.058315879543306685,-100,100,-0.15022283215423168,-100,100
18360,0,34178.16869401932,-0.05707581305207794,-100,100,-0.15523152910779894,-100,100
18819,0,42794.72771024704,-0.0608580616191901,-100,100,-0.14772700417257187,-100,100
19278,0,51440.130168914795,-0.06151474678423882,-100,100,-0.14617099095424055,-100,100
19737,0,60120.45367002487,-0.060271160690153605,-100,100,-0.15047407837281776,-100,100
20196,0,68906.81745290756,-0.05833458694193524,-100,100,-0.1518093082563612,-100,10
20655,0,9221.944332122803,-0.05706452097788338,-100,100,-0.15237633158242894,-100,100
21114,0,18118.561980485916,-0.05952101926617094,-100,100,-0.14942104061806036,-100,100
21573,0,26813.289442062378,-0.059604416459912817,-100,100,-0.15075916373197845,-100,100
22032,0,35751.15221762657,-0.0598164911554676,-100,100,-0.1461630252362643,-100,100
22491,0,44745.83457684517,-0.05979003037643531,-100,100,-0.14703310333413364,-100,100
22950,0,53648.88708329201,-0.05765978256647823,-100,100,-0.15294186955310396,-100,100
23409,0,62712.904213666916,-0.05942617311955704,-100,100,-0.14836935984030436,-100,100
23868,0,8711.055384874344,-0.058280248072386354,-100,100,-0.153190852530351,-100,100
24327,0,17488.290662050247,-0.057497060260395645,-100,100,-0.15386820450838276,-100,100
24786,0,26299.093737125397,-0.059000665081100634,-100,100,-0.1513487234842589,-100,100
25245,0,35161.28787565231,-0.06306801835253575,-100,100,-0.14355053193351422,-100,100
25704,0,43890.63703107834,-0.06339472284129148,-100,100,-0.14285716967442158,-100,100
26163,0,52457.48140525818,-0.058317182547403264,-100,100,-0.15276956734327948,-100,100
26622,0,61161.31846141815,-0.05748215750987783,-100,100,-0.15360164537464324,-100,100
27081,0,70368.43418502808,-0.05972291713942011,-100,100,-0.1473046315186153,-100,100
27540,0,79435.69085264206,-0.05775686506044764,-100,100,-0.14888801589757922,-100,100
27999,0,88679.89423632622,-0.05636261785099952,-100,100,-0.15532347948583916,-100,10
28458,0,97820.11136436462,-0.059490120112204455,-100,100,-0.14790625350172232,-100,100
