episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
1,0,27.814624071121216,0.033065276841106585,-100,100,-0.2841726583773048,-100,10
2,1,30.171622037887573,-0.008594748330191792,-100,100,-0.22115321814516384,-100,10
3,0.8,41.04088735580444,-0.08744802833811381,-100,100,-0.0019516003703397083,-100,100
4,0.6400000000000001,61.80683159828186,-0.017700855440879456,-100,10,-0.1308846208718626,-100,100
5,0.5120000000000001,85.46997690200806,-0.08135947548540633,-100,100,-0.023669545512387265,-100,100
6,0.40960000000000013,122.38644123077393,-0.06045049390464421,-100,10,-0.0844266754562622,-100,100
7,0.32768000000000014,138.7987720966339,0.041892783230348715,-0.32025194629459264,100,-0.2590142604940667,-100,10
8,0.2621440000000001,143.59177350997925,0.2974794721281069,-0.5339260354678781,100,-1.072939943106942,-100,10
9,0.2097152000000001,177.12280583381653,-0.08533900575872577,-100,100,-0.10068139876671456,-100,10
10,0.1677721600000001,213.61442279815674,-0.08384042877786277,-100,100,-0.061094316811121006,-100,100
11,0.13421772800000006,237.98704075813293,0.0310157698668544,-100,100,-0.2295411680274518,-100,10
12,0.10737418240000006,260.57416009902954,0.055841216881633696,-1.4030446963282965,100,-0.28506375467033923,-100,100
13,0.08589934592000005,301.2739210128784,-0.023730358401611532,-100,100,-0.24988634827859268,-100,10
14,0.06871947673600004,345.7395360469818,-0.08392397885566584,-100,100,-0.22275873100187568,-100,10
15,0.054975581388800036,383.6754138469696,0.04442487890185636,-1.538761217932307,100,-0.16751642177079334,-100,10
16,0.043980465111040035,439.25419640541077,-0.03820728298923007,-100,100,-0.1870179568183869,-100,10
17,0.03518437208883203,498.1647539138794,-0.08542070131031533,-100,100,-0.03850873629859549,-100,10
18,0.028147497671065627,550.9317982196808,-0.03889718595266299,-100,100,-0.1684802798868638,-100,10
19,0.022517998136852502,609.0436658859253,-0.08579788615474443,-100,100,-0.1100748803852811,-100,10
20,0.018014398509482003,656.8910660743713,-0.06408140166757886,-100,100,-0.27223497345080694,-100,100
21,0.014411518807585602,711.421765089035,-0.0860715618850861,-100,10,-0.07413421102735653,-100,10
22,0.011529215046068483,766.7095041275024,-0.06290186605534985,-100,10,-0.14241054631247066,-100,10
23,1,789.4486749172211,-0.0050840638439705495,-100,10,-0.1620124846600712,-100,10
24,0.8,820.0279591083527,-0.09379354188462492,-100,100,-0.05411042784836758,-100,10
25,0.6400000000000001,854.8661847114563,-0.026204314639879496,-100,10,-0.11087981912244094,-100,10
26,0.5120000000000001,897.9530692100525,-0.081951244777289,-100,100,-0.13122583540644944,-100,10
27,0.40960000000000013,940.845983505249,-0.042269617744412076,-100,100,-0.18553123030404267,-100,10
28,0.32768000000000014,990.19451212883,-0.0441094367826738,-100,100,-0.2416415578147774,-100,10
29,0.2621440000000001,1037.342526435852,0.010159828979161898,-100,100,-0.15099730609102077,-100,10
30,0.2097152000000001,1088.906102180481,-0.04182202913035993,-100,100,-0.18449047050208395,-100,10
31,0.1677721600000001,1134.9197487831116,-0.02565088481205597,-100,100,-0.24329517311916962,-100,10
32,0.13421772800000006,1191.6246457099915,-0.042058895267340336,-100,10,-0.1312426378646796,-100,10
33,0.10737418240000006,1255.9136283397675,-0.021875158804265903,-100,10,-0.14392398251714084,-100,10
34,0.08589934592000005,1314.330964565277,-0.010798597132984164,-100,10,-0.1541850685119336,-100,10
35,0.06871947673600004,1378.6530272960663,-0.0801280949703734,-100,10,-0.12793805567150562,-100,10
36,0.054975581388800036,1433.6520292758942,-0.04348320913084032,-100,100,-0.22474138025493107,-100,0.9655187367969136
37,0.043980465111040035,1484.3914914131165,-0.00986686624420018,-100,100,-0.24626710262606807,-100,0.6360457728627043
38,0.03518437208883203,1549.860383272171,-0.06693588733021118,-100,10,-0.13429268025291935,-100,10
39,0.028147497671065627,1608.5453970432281,-0.02873373521471187,-100,10,-0.18221604577576714,-100,0.1432994522306763
40,0.022517998136852502,1667.246384859085,-0.04578779474963518,-100,10,-0.16204158269906435,-100,10
41,0.018014398509482003,1729.1304450035095,-0.046201223481292165,-100,100,-0.18900702718250414,-100,0.10134559730258141
42,0.014411518807585602,1792.0427548885345,-0.06702539514371307,-100,10,-0.13262055025298328,-100,10
43,0.011529215046068483,1847.0967452526093,0.018355819896974566,-0.4381490627617739,10,-0.29155487903372557,-100,0.10084469329984813
44,1,1873.777274608612,-0.09669533226410655,-100,100,0.048270582165817894,-100,100
45,0.8,1907.4709334373474,-0.08387143200336315,-100,10,-0.05462878526840901,-100,10
46,0.6400000000000001,1943.644408941269,-0.0675186680100317,-100,100,-0.12076812217740576,-100,10
47,0.5120000000000001,1988.1664068698883,-0.0931960486138091,-100,100,-0.12429390317347903,-100,10
48,0.40960000000000013,2034.4396181106567,-0.054648642974433684,-100,100,-0.2247729791132035,-100,10
49,0.32768000000000014,2082.783563375473,-0.08945755219502124,-100,100,-0.19976473319705348,-100,10
50,0.2621440000000001,2131.2613186836243,-0.04912262297396126,-100,10,-0.2028845900648895,-100,10
51,0.2097152000000001,2183.767369747162,-0.022079568245239416,-100,10,-0.20372708588911922,-100,10
52,0.1677721600000001,2237.8285851478577,-0.06971307455140263,-100,100,-0.25992880979993205,-100,10
53,0.13421772800000006,2290.997987270355,-0.029104159653102347,-100,10,-0.1794106197570736,-100,10
