episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
1,0,12.623826742172241,0.008826732553800667,-100,100,-0.5628051825633514,-100,10
2,1,18.363747596740723,-0.0908020156965469,-100,100,-0.036330494650986436,-100,100
3,0.9,25.522751569747925,-0.020056189434640975,-100,10,-0.10533913421709037,-100,10
4,0.81,35.53175139427185,-0.07977938906747668,-100,100,-0.0994075211257701,-100,10
5,0.7290000000000001,51.39375114440918,-0.08356323531961558,-100,10,-0.02869095807149372,-100,10
6,0.6561000000000001,66.69511866569519,-0.10839879938009814,-100,10,-0.06113448654497433,-100,10
7,0.5904900000000002,79.75968933105469,-0.04147353878385157,-100,100,-0.17270936423098776,-100,10
8,0.5314410000000002,94.32169032096863,-0.025297119723074607,-100,100,-0.17489572721878605,-100,10
9,0.47829690000000014,113.06276154518127,-0.0809053745032667,-100,100,-0.14960979853843717,-100,10
10,0.43046721000000016,137.8007733821869,-0.07580048323664472,-100,100,-0.060648591256496645,-100,100
11,0.38742048900000015,169.23877358436584,-0.08917220741007044,-100,10,0.08380055462832554,-100,100
12,0.34867844010000015,191.34248733520508,-0.005148143611024637,-100,10,-0.12573886762347455,-100,100
13,0.31381059609000017,222.5686309337616,-0.07909548756363108,-100,100,-0.03796778466201153,-100,100
14,0.28242953648100017,233.64662981033325,0.04226541681969522,-100,100,-0.4874376759463603,-100,10
15,0.25418658283290013,266.9047780036926,-0.0755401435044149,-100,10,-0.06917001507537075,-100,10
16,0.22876792454961012,295.1537744998932,-0.09101114724697022,-100,10,-0.1054118382245552,-100,10
17,0.2058911320946491,328.4078195095062,-0.09024779369441574,-100,100,0.13060813926582787,-100,100
18,0.1853020188851842,358.25805616378784,-0.06529833653061996,-100,10,-0.1022420933578106,-100,10
19,0.16677181699666577,386.21105575561523,-0.047941597705942966,-100,100,-0.17152062441428728,-100,10
20,0.1500946352969992,423.9403223991394,-0.07633467548484199,-100,100,0.08220808975529202,-100,100
21,0.13508517176729928,434.01132369041443,0.0425984181959555,-100,100,-0.4190868898745962,-100,10
22,0.12157665459056936,459.0873110294342,-0.0588463592325491,-100,100,-0.13807528053725662,-100,100
23,0.10941898913151243,509.40030002593994,-0.0530790177010617,-100,100,-0.00503079977049369,-100,100
24,0.0984770902183612,572.813310623169,-0.06187650403480838,-100,100,0.06809210800198778,-100,100
25,0.08862938119652508,606.1023001670837,-0.07710079411151172,-100,100,-0.08173531525587244,-100,100
26,0.07976644307687257,623.2094209194183,0.015531017051216109,-100,100,-0.41859407709450913,-100,10
27,0.07178979876918531,666.2615652084351,-0.0650074656641744,-100,100,0.004597176189840934,-100,100
28,0.06461081889226679,694.1165766716003,-0.043553252567635765,-100,100,-0.1333477821682056,-100,10
29,0.05814973700304011,730.5985760688782,-0.06937451220947656,-100,10,-0.0048534725002909365,-100,100
30,0.0523347633027361,769.6724834442139,-0.06680676285334759,-100,100,-0.08450323335476868,-100,10
31,0.04710128697246249,788.6414830684662,0.025972690467471124,-100,100,-0.251593741129481,-100,100
32,0.042391158275216244,810.9324827194214,-0.051751247390764685,-100,10,-0.15351330799678348,-100,0.5303292249741898
33,0.03815204244769462,834.0834715366364,-0.030692620053982718,-100,100,-0.1669644977457561,-100,0.12051654072893836
34,0.03433683820292516,855.4154832363129,-0.030367110043788764,-100,100,-0.25448374127751294,-100,10
35,0.030903154382632643,888.9964833259583,-0.09722270040720613,-100,100,0.07667579289356517,-100,100
36,0.02781283894436938,917.1954832077026,-0.08383722127591901,-100,100,-0.09911023556016416,-100,10
37,0.025031555049932444,949.2174832820892,-0.09435390560684002,-100,10,0.005751682372731314,-100,10
38,0.0225283995449392,990.6304831504822,-0.069097917351817,-100,100,0.07833822341918774,-100,100
39,0.020275559590445278,1021.6494693756104,-0.08317407455905156,-100,100,-0.07488182252379946,-100,100
40,0.01824800363140075,1053.2087922096252,-0.08782613599064622,-100,100,-0.012703954245951355,-100,10
41,0.016423203268260675,1079.3300659656525,-0.07899392454642054,-100,100,-0.19010651396022,-100,10
42,0.014780882941434608,1105.3310034275055,-0.023951687566257797,-100,100,-0.16048268312017444,-100,10
43,0.013302794647291147,1138.487003326416,-0.08257755638535194,-100,100,-0.06663118635863798,-100,100
44,0.011972515182562033,1166.6299283504486,-0.025981109771317464,-100,100,-0.2931180508782281,-100,100
45,0.01077526366430583,1204.0159318447113,-0.07503536966073927,-100,100,-0.07396439653043611,-100,100
46,1,1213.965740442276,-0.08457574965281371,-100,10,-0.004605995431987423,-100,100
47,0.9,1219.981743812561,-0.06279556013342481,-100,100,-0.1922732552615352,-100,10
48,0.81,1230.0007455348969,-0.0906028151454031,-100,100,-0.09845716422073107,-100,100
49,0.7290000000000001,1244.9497392177582,-0.08010270566459826,-100,100,-0.03952105607106669,-100,100
50,0.6561000000000001,1259.8287460803986,-0.0796112271998361,-100,100,-0.09237481870337068,-100,10
51,0.5904900000000002,1281.0177428722382,-0.08780762878586418,-100,100,0.01617801983388935,-100,100
52,0.5314410000000002,1302.3077611923218,-0.07857530460326152,-100,100,-0.008854728804167104,-100,100
53,0.47829690000000014,1330.9457530975342,-0.0710293559847224,-100,10,-0.044174508814970585,-100,100
54,0.43046721000000016,1350.615740776062,-0.07891244652539502,-100,100,-0.13408503515306044,-100,100
55,0.38742048900000015,1381.3404476642609,-0.08295374359096329,-100,100,-0.07413114687286543,-100,100
56,0.34867844010000015,1403.3044600486755,-0.04729490293992907,-100,100,-0.12995341575681033,-100,100
57,0.31381059609000017,1412.1104469299316,0.07619884799743026,-100,100,-0.427932196498237,-100,10
