episode,iterations,epsilon,time,car_avg,car_min,car_max,car_cumulative,car_reproductions,car_table_size,her_avg,her_min,her_max,her_cumulative,her_reproductions,her_table_size
1,1247,1,2.514012336730957,-0.06003434687114817,-100,10,-74.86283054832177,0,85,0.02723031810332233,-0.14318583987246325,10,33.956206674842946,0,173
2,1139,0.9,2.407987117767334,0.02022571968614586,-0.7,10,23.016869002833985,0,139,-0.14858792751053032,-100,10,-78.60301365307053,0,251
3,1630,0.81,3.5590126514434814,-0.04521212470412796,-100,10,-73.65055114302444,0,223,0.024114376382796444,-0.3117837431841948,10,39.282319127575406,0,383
4,1347,0.7290000000000001,3.9190003871917725,0.023700791170124268,-0.10938824792656454,10,31.901264914987262,0,259,-0.0317094644314241,-100,100,-55.2695965039722,1,468
5,716,0.6561000000000001,3.1569457054138184,0.09425252921927581,-0.46019603007003695,100,129.50297514728496,1,299,-0.0556680554912742,-100,100,-58.8968027097681,1,492
6,1257,0.5904900000000002,5.431748628616333,-0.07298437978913272,-100,10,-91.6683810151507,0,362,0.15987821172022446,-0.5017953392338539,100,406.5702924045308,3,556
7,1619,0.5314410000000002,7.0967676639556885,0.07971724180291118,-0.2,100,160.39109050745728,1,415,0.01251720919318259,-100,100,20.25284447456943,3,629
8,1265,0.47829690000000014,5.446781158447266,-0.07181150238720418,-100,10,-89.47713197445641,0,450,0.09984966437467868,-0.19423788279716736,100,141.8863730764184,1,644
9,447,0.43046721000000016,4.629014492034912,0.12042300851652041,-0.4,100,103.56378732420755,1,468,-0.17752216777100988,-100,10,-79.1748868258704,0,652
10,1641,0.38742048900000015,11.215988636016846,-0.04415654277883538,-100,10,-72.41673015729002,0,490,0.2845060719918316,-1.339268441656925,100,1397.4938256238768,11,793
11,1434,0.34867844010000015,8.450988054275513,-0.04022642143191763,-100,100,-80.97578634245019,1,523,0.045147879352076495,-100,100,110.34141713647496,2,832
12,3056,0.31381059609000017,18.597000122070312,-0.010591230955442225,-100,100,-38.36143852061174,1,587,0.09747323227097572,-100,100,1002.1223009779013,10,918
13,1256,0.28242953648100017,15.834256649017334,-0.05131461299183816,-100,100,-83.84807762866356,1,641,0.21215171291464358,-100,100,804.0549919464992,7,982
14,1053,0.25418658283290013,12.59998631477356,-0.11334358661030869,-100,0.19600263139899465,-97.13545372503455,0,642,0.12433196389419787,-0.5367397623012802,100,155.53928683164153,1,989
15,1666,0.22876792454961012,15.04599905014038,-0.051787259936477786,-100,10,-86.22578779423552,0,648,0.08053964939621659,-0.17844181367674894,100,173.16024620186568,1,1014
16,1356,0.2058911320946491,17.445987939834595,-0.03072047969533782,-100,100,-74.1592379845455,1,793,0.05544073229331507,-100,100,107.88766504279113,3,1039
17,1131,0.1853020188851842,13.630997657775879,0.03224437861274493,-0.16838842860386904,10,36.43614783240177,0,832,-0.02870929039250059,-100,100,-53.6002451627986,1,1047
18,1026,0.16677181699666577,14.129076957702637,0.023184010399697398,-0.6975793547542107,10,23.76361065968983,0,833,-0.06694893981048186,-100,100,-69.7607952825221,1,1055
19,1274,0.1500946352969992,26.68500018119812,-0.062420472476362204,-100,10,-79.46126146240908,0,850,0.2751092458890728,-100,100,907.8605114339404,8,1122
20,865,0.13508517176729928,16.490539073944092,-0.05613872267677236,-100,100,-71.07162290879381,1,868,0.03433742748845161,-0.1634899222246582,10,29.66753735002219,0,1122
21,1288,0.12157665459056936,21.82503390312195,-0.0664376382637169,-100,10,-85.50524044540366,0,870,0.13183961949849765,-100,100,316.67876603539133,3,1141
22,1301,0.10941898913151243,19.046878576278687,-0.06843696426244923,-100,10,-88.968053541184,0,871,0.12270885242833245,-100,100,317.93863664180935,3,1164
23,3872,0.0984770902183612,78.74290084838867,-0.003833926487898863,-100,100,-17.152987106859513,1,1123,0.06786284118139693,-100,100,2158.649115139055,25,1738
24,1292,0.08862938119652508,22.155985593795776,-0.07306660939848936,-100,10,-94.32899273344975,0,1126,0.024138748198834208,-0.18331036175947246,10,31.16312392469496,0,1742
25,1683,0.07976644307687257,22.62617063522339,-0.044322200714625684,-100,10,-74.5499416020004,0,1129,0.019219330707772812,-0.15391196254881923,10,32.32691425047387,0,1743
26,3743,0.07178979876918531,101.15112853050232,0.005440291519029593,-100,100,34.98651475887931,3,1642,0.08211691247187924,-100,100,2006.9373408127287,20,2016
27,1400,0.06461081889226679,40.413999795913696,-0.04374583995258617,-100,100,-91.16633046118957,1,1703,0.0805714642992105,-0.9784303085321263,100,163.15721520590125,1,2023
28,894,0.05814973700304011,34.24124312400818,-0.10301359783449604,-100,0.20088682857688367,-91.99114286620497,0,1703,0.17688351381265172,-0.18356131131455689,100,297.34118671906754,2,2030
29,1301,0.0523347633027361,52.6339852809906,-0.06914103259320205,-100,10,-88.63880378448502,0,1704,0.2072226638835495,-100,100,815.0067370540003,7,2075
30,1283,0.04710128697246249,53.66959309577942,-0.06909902910338431,-100,10,-88.58495531053867,0,1704,0.1799467123940733,-0.6793203370612291,100,815.3385538575461,6,2159
31,1693,0.042391158275216244,33.232067346572876,-0.043897565227514805,-100,10,-74.27468036495505,0,1764,0.025683530612280858,-0.16336285705400044,10,43.45653379597921,0,2159
32,1492,0.03815204244769462,33.31860327720642,0.01959555388165256,-0.20307253288032556,10,29.21697083754397,0,1764,-0.06424205550624695,-100,100,-68.22506294763427,1,2160
33,1302,0.03433683820292516,39.50145936012268,-0.062145666579017246,-100,10,-80.85151221930144,0,1767,0.08359969265784126,-100,100,204.0668497777905,2,2165
34,1461,0.030903154382632643,33.012542724609375,0.021871200965339403,-0.26143413414374383,10,31.93195340939553,0,1767,-0.02600945363793624,-100,100,-47.02509217738872,1,2168
35,1301,0.02781283894436938,47.32801842689514,-0.07321411312175202,-100,10,-95.17834705827762,0,1770,0.16898286596154508,-0.6909834546483378,100,669.34113207368,5,2189
