episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
459,0,4726.386858463287,-0.034347888272083876,-100,100,0.0831466187781259,-100,100
918,0,9222.854765176773,-0.03631553662816296,-100,100,0.08328049908091885,-100,100
1377,0,13337.975412845612,-0.03736947121649273,-100,100,0.0821698558262206,-100,100
1836,0,17914.86700820923,-0.03439606808962134,-100,100,0.08256436826693893,-100,100
2295,0,22337.711267471313,-0.03555239829308653,-100,100,0.081863981121006,-100,100
2754,0,26975.824191093445,-0.03550169563447277,-100,100,0.08112237941769386,-100,100
3213,0,31438.656239271164,-0.03519005100214862,-100,100,0.07991412382206102,-100,100
3672,0,35922.47167921066,-0.03556212770319352,-100,100,0.08099556089419985,-100,100
4131,0,40267.33110046387,-0.03568216875435336,-100,100,0.08423720511917217,-100,100
4590,0,44394.29600381851,-0.03677483253532435,-100,100,0.08250923161615818,-100,100
5049,0,48949.363193035126,-0.035947589676090554,-100,100,0.08074855729916953,-100,100
5508,0,53620.11456179619,-0.03604152912859676,-100,100,0.08172921413946495,-100,100
5967,0,58288.65051603317,-0.03567388437813201,-100,100,0.08273344988904897,-100,100
6426,0,62784.68357253075,-0.03506863966329992,-100,100,0.0815943913109125,-100,100
6885,0,67486.08063960075,-0.03485865010880786,-100,100,0.0815385967695226,-100,100
7344,0,72257.68649125099,-0.03501959575155752,-100,100,0.08221488938816827,-100,100
459,0,7193.278080940247,-0.033479887070775025,-100,100,0.0831914355042364,-100,100
918,0,13796.2070145607,-0.037315373147208133,-100,100,0.08434488334010445,-100,100
1377,0,20279.462113142014,-0.03652958688084007,-100,100,0.08266212297270514,-100,100
1836,0,26795.527215242386,-0.036639310660023294,-100,100,0.0811255136364536,-100,100
2295,0,33528.83919835091,-0.035038063795422826,-100,100,0.0808363877331816,-100,100
2754,0,40114.598831653595,-0.03435274296349832,-100,100,0.08136239841569641,-100,100
3213,0,46795.664712667465,-0.0358036815857792,-100,100,0.08170717640913487,-100,100
3672,0,52994.65456342697,-0.03895614251781105,-100,100,0.08351959336773747,-100,100
4131,0,59907.49874639511,-0.03434091723702402,-100,100,0.08182892316299896,-100,100
4590,0,66486.15370059013,-0.03639977675000203,-100,100,0.08231121934612266,-100,100
5049,0,73116.38066387177,-0.03669771603771905,-100,100,0.08312811669286116,-100,100
5508,0,79522.7731153965,-0.03536901060624279,-100,100,0.08160386473281098,-100,100
5967,0,86145.84122014046,-0.03731218356255092,-100,100,0.08243040157793131,-100,100
6426,0,93537.89455413818,-0.03210875448284966,-100,100,0.07911241416149686,-100,100
6885,0,99952.58752655983,-0.034928996793403576,-100,100,0.08071554709817799,-100,100
7344,0,106278.95430493355,-0.035026097617295665,-100,100,0.08252730183094036,-100,100
7803,0,112930.04055833817,-0.03632793877145284,-100,100,0.08389970335635917,-100,100
8262,0,119239.55530881882,-0.037965639880857806,-100,100,0.08401690264024601,-100,100
8721,0,125600.95827293396,-0.03580950222747147,-100,100,0.08179438399992443,-100,100
9180,0,131964.20023202896,-0.036061849093137394,-100,100,0.08258237869881674,-100,100
9639,0,138555.52877426147,-0.03740281047542843,-100,100,0.08206108537580155,-100,100
10098,0,145055.06595945358,-0.035429955646177236,-100,100,0.07925343817206729,-100,100
10557,0,152121.97575592995,-0.03466689234923718,-100,100,0.08272820743890301,-100,100
11016,0,159346.53173017502,-0.03392131460158406,-100,100,0.0796962160272249,-100,100
11475,0,166615.396276474,-0.035632695478303576,-100,100,0.08090444886543792,-100,100
11934,0,6364.844010353088,-0.036293295884350305,-100,100,0.08091400587630178,-100,100
12393,0,13002.490320444107,-0.03538204623135179,-100,100,0.08110409534668932,-100,100
12852,0,19248.006283044815,-0.03645596246785647,-100,100,0.0811272709977374,-100,100
13311,0,25417.686665058136,-0.03843110809790317,-100,100,0.08214168897904804,-100,100
13770,0,32238.15669798851,-0.032804712628683404,-100,100,0.07971174863564186,-100,100
14229,0,38563.19358944893,-0.037607661415354494,-100,100,0.08171466489014173,-100,100
14688,0,45269.02682042122,-0.035710995626893255,-100,100,0.08260345503335803,-100,100
15147,0,51532.75935268402,-0.03670299324796134,-100,100,0.08230920299599984,-100,100
15606,0,57827.796493291855,-0.03778966266582677,-100,100,0.08441356830885205,-100,100
16065,0,64939.129668951035,-0.03459994257150896,-100,100,0.0825528758912439,-100,100
