episode,epsilon,time,car_avg,car_min,car_max,her_avg,her_min,her_max
1,1.0,2.35202693939209,0.8428015564202335,-100,1,0.9594210390281727,-100,10
2,0.99,2.2290070056915283,0.9011753418085872,-100,100,0.7876787678767877,-100,10
3,0.9801,1.8930046558380127,0.9070998796630566,-100,10,0.8264462809917356,-100,10
4,0.9702989999999999,1.383002519607544,0.9630454140694568,-100,10,0.7736720554272517,-100,10
5,0.96059601,1.5570030212402344,0.908073350797809,-100,10,0.8453445554971067,-100,10
6,0.9509900498999999,1.4549939632415771,0.9058795637743006,-100,100,0.8196319018404908,-100,10
7,0.9414801494009999,1.4120028018951416,0.9068083051665862,-100,10,0.8075435203094777,-100,10
8,0.9320653479069899,1.282996654510498,0.9295558958652373,-100,10,0.7859447830763715,-100,10
9,0.92274469442792,1.266000747680664,0.9028960817717206,-100,100,0.7624353362514923,-100,10
10,0.9135172474836407,1.1290109157562256,1.0059880239520957,-100,100,0.7211948790896159,-100,10
11,0.9043820750088043,1.5819447040557861,0.8739196746314184,-100,10,0.8519938650306749,-100,10
12,0.8953382542587163,1.618011236190796,0.8598262502934961,-100,10,0.8855818492315198,-100,10
13,0.8863848717161291,1.0299997329711914,0.9567005321722303,-100,100,0.6361974405850092,-100,10
14,0.8775210229989678,1.1029994487762451,1.0088703365510043,-100,100,0.7236111111111111,-100,10
15,0.8687458127689781,1.124006986618042,0.979927946474524,-100,100,0.7166900420757363,-100,1
16,0.8600583546412883,1.0850129127502441,1.0012923235978288,-100,100,0.7205056179775281,-100,10
17,0.8514577710948754,1.6180765628814697,0.9242667738047409,-100,10,0.8438630670748678,-100,10
18,0.8429431933839266,1.1910181045532227,0.9803921568627451,-100,100,0.7680652680652681,-100,10
19,0.8345137614500874,1.4510126113891602,0.8729959919839679,-100,100,0.8346186803770351,-100,10
20,0.8261686238355865,1.4259963035583496,0.8991640543364682,-100,10,0.8310094813162298,-100,1
21,0.8179069375972307,1.0749874114990234,0.9490623416117587,-100,100,0.708780487804878,-100,10
22,0.8097278682212583,1.0560109615325928,0.9240121580547113,-100,100,0.6858475894245724,-100,1
23,0.8016305895390458,1.2480127811431885,0.9024635495223731,-100,100,0.7826720058245359,-100,10
24,0.7936142836436553,1.2310035228729248,0.9572275186807524,-100,10,0.7868448821667253,-100,1
25,0.7856781408072188,1.2300071716308594,1.0041515308770108,-100,100,0.7923478260869565,-100,10
26,0.7778213593991465,1.3250038623809814,0.904978458592628,-100,100,0.8065789473684211,-100,10
27,0.7700431458051551,1.2970099449157715,0.9073764621628073,-100,100,0.7825136612021858,-100,10
28,0.7623427143471035,1.1479945182800293,0.9580450792233877,-100,100,0.6908517350157729,-100,10
29,0.7547192872036325,1.165006399154663,1.0087674058793192,-100,100,0.7568218298555377,-100,1
30,0.7471720943315961,1.374011754989624,0.9054761904761904,-100,100,0.8193548387096774,-100,10
31,0.7397003733882802,1.1360015869140625,0.9516539440203562,-100,100,0.7421166306695465,-100,10
32,0.7323033696543974,1.2560012340545654,0.9270091556459817,-100,100,0.7840616966580977,-100,10
33,0.7249803359578534,1.2760117053985596,0.9240314003545201,-100,100,0.7737961926091825,-100,1
34,0.7177305325982748,1.1110143661499023,0.9587831207065751,-100,100,0.7125662012518055,-100,10
35,0.7105532272722921,1.2680134773254395,0.9339014279134039,-100,100,0.7746262935990801,-100,10
36,0.7034476949995692,1.2710037231445312,0.9627285513361463,-100,100,0.77994839660892,-100,10
37,0.6964132180495735,1.209014892578125,0.9581442259203228,-100,10,0.7712344280860702,-100,1
38,0.6894490858690777,1.4870038032531738,0.8776818742293465,-100,10,0.8439490445859873,-100,10
39,0.682554595010387,1.1440114974975586,0.9229810568295115,-100,100,0.7162921348314607,-100,1
40,0.6757290490602831,1.2950010299682617,0.960054163845633,-100,100,0.7659741277930223,-100,10
41,0.6689717585696803,1.1940128803253174,0.9271943176052765,-100,100,0.7719633307868602,-100,10
42,0.6622820409839835,1.2870080471038818,0.9499229583975347,-100,100,0.8033106134371957,-100,1
43,0.6556592205741436,1.1720125675201416,0.9279437609841827,-100,100,0.756528726396143,-100,1
44,0.6491026283684022,1.122016429901123,0.9521850899742931,-100,100,0.7310252996005326,-100,1
45,0.6426116020847181,1.628011703491211,0.8827977315689981,-100,10,0.8698979591836735,-100,10
46,0.6361854860638709,1.1430127620697021,0.9276348966212808,-100,100,0.735024048972453,-100,1
47,0.6298236312032323,1.304013967514038,0.9587447882378758,-100,100,0.77375913813005,-100,10
48,0.6235253948912,1.2380120754241943,1.011737089201878,1,10,0.7857142857142857,-100,1
49,0.617290140942288,1.3890159130096436,0.9060355029585799,-100,100,0.8161945812807881,-100,10
50,0.6111172395328651,1.3130111694335938,0.9611586570111915,-100,100,0.7776497695852534,-100,10
51,0.6050060671375365,1.2819993495941162,0.9549961861174676,-100,100,0.7809174311926605,-100,10
52,0.5989560064661611,1.4650030136108398,0.9155420113191118,-100,100,0.8167721518987342,-100,10
53,0.5929664464014994,1.6820001602172852,0.8846511627906977,-100,10,0.8540218470705064,-100,10
54,0.5870367819374844,1.3980000019073486,0.9090909090909091,-100,100,0.8021189336978811,-100,10
55,0.5811664141181095,1.237997055053711,0.9249937075257991,-100,100,0.7524509803921569,-100,1
56,0.5753547499769285,1.3310115337371826,0.9807892004153687,-100,10,0.8122676579925651,-100,1
57,0.5696012024771592,1.3200163841247559,0.9634924125797228,-100,10,0.7846942511900403,-100,10
58,0.5639051904523876,1.2200074195861816,0.9043392504930966,-100,100,0.7662490211433046,-100,10
59,0.5582661385478638,1.0450012683868408,0.9824324324324324,-100,100,0.5826827537260468,-100,10
60,0.5526834771623851,1.6230125427246094,0.9434657927079066,-100,10,0.8283211678832116,-100,10
61,0.5471566423907612,1.3270018100738525,0.9831606217616581,-100,10,0.7993377483443709,-100,1
62,0.5416850759668536,1.2030093669891357,0.9310096153846154,-100,100,0.7498952660242982,-100,10
63,0.536268225207185,1.1800129413604736,0.9803006739243131,-100,100,0.7676380368098159,-100,1
64,0.5309055429551132,1.1010074615478516,0.952787543947765,-100,100,0.7096310493531385,-100,1
65,0.525596487525562,0.8510134220123291,1.0059288537549407,-100,100,0.4970513900589722,-100,10
66,0.5203405226503064,1.308013916015625,0.9533468559837728,-100,10,0.80608,-100,1
67,0.5151371174238033,1.3820126056671143,0.9083353122773687,-100,10,0.8160813308687616,-100,10
68,0.5099857462495653,1.5379984378814697,0.8482344102178813,-100,1,0.9058206345241069,-100,10
69,0.5048858887870696,1.473999261856079,0.8769716088328076,-100,100,0.8261502620850321,-100,10
70,0.4998370298991989,1.6734199523925781,0.8824087245139877,-100,10,0.8478205455008921,-100,10
71,0.49483865960020695,1.411003828048706,0.981555333998006,-100,10,0.8050820199421036,-100,1
72,0.4898902730042049,1.3690130710601807,0.9025990411304567,-100,10,0.7982689747003995,-100,1
73,0.48499137027416284,1.1490001678466797,0.9497728419989904,-100,100,0.7004448838358873,-100,1
74,0.4801414565714212,1.2639994621276855,0.9252615844544095,-100,100,0.7602935181410517,-100,10
75,0.475340042005707,1.2410106658935547,0.978871488938603,-100,100,0.7669230769230769,-100,1
76,0.47058664158564995,1.066014289855957,0.9320411022886501,-100,100,0.6146788990825688,-100,10
77,0.4658807751697934,1.5260024070739746,0.8797682279092226,-100,100,0.8324915824915825,-100,10
78,0.4612219674180955,1.6699986457824707,0.8811406661873952,-100,10,0.8578680203045685,-100,10
79,0.45660974774391455,1.254014492034912,0.9553956834532374,-100,100,0.7521472392638037,-100,1
80,0.4520436502664754,1.5360205173492432,0.850185414091471,-100,1,0.8746841839312784,-100,10
81,0.44752321376381066,1.5220129489898682,0.9089867033470885,-100,100,0.8194738433625642,-100,10
82,0.44304798162617254,1.3820102214813232,0.9606811920861508,-100,10,0.8034891375905201,-100,10
83,0.4386175018099108,1.25300931930542,0.9272681196147998,-100,100,0.7707150964812712,-100,1
84,0.4342313267918117,1.3840062618255615,0.905848095122543,-100,100,0.8051566579634465,-100,10
85,0.4298890135238936,1.5200085639953613,0.9365745856353591,-100,100,0.8155699721964782,-100,10
86,0.42559012338865465,1.1340000629425049,0.9530821063139506,-100,100,0.6923857868020304,-100,1
87,0.4213342221547681,1.2760112285614014,0.9530776992936428,-100,100,0.7683352735739232,-100,10
88,0.41712087993322045,1.37699556350708,0.9314595660749507,-100,100,0.7919860627177701,-100,10
89,0.41294967113388825,1.2489979267120361,0.9540903540903541,-100,100,0.727894257064722,-100,10
90,0.40882017442254937,1.4489996433258057,0.9356371490280777,-100,100,0.778149386845039,-100,10
91,0.4047319726783239,1.1629948616027832,1.000732779677577,-100,100,0.681220410310363,-100,1
92,0.40068465295154065,1.25301194190979,0.9807454949395211,-100,100,0.7518427518427518,-100,1
93,0.39667780642202527,1.4250094890594482,0.9292057227429699,-100,100,0.8188882247459653,-100,1
94,0.392711028357805,1.404008150100708,0.9320264765784114,-100,10,0.8187063467962344,-100,10
95,0.38878391807422696,1.5770132541656494,0.9076112972714218,-100,10,0.849961724929829,-100,10
96,0.3848960788934847,1.435014009475708,0.872836719337848,-100,100,0.8207630878438332,-100,1
97,0.38104711810454983,1.4730021953582764,0.9366397721879449,-100,10,0.8234250221827861,-100,10
98,0.37723664692350434,1.5070126056671143,0.9630454140694568,-100,10,0.8278322925958965,-100,10
99,0.37346428045426927,1.3990063667297363,0.8756864702945582,-100,100,0.8110972568578554,-100,1
100,0.36972963764972655,1.582014799118042,0.8807405626352488,-100,10,0.8492424242424242,-100,10
101,0.36603234127322926,1.3390142917633057,0.9565217391304348,-100,10,0.8092147955872809,-100,10
102,0.36237201786049694,1.333012342453003,0.9267993122083026,-100,100,0.7978652434956638,-100,1
103,0.358748297681892,1.3930020332336426,0.9342387419585418,-100,10,0.7931740614334472,-100,1
104,0.35516081470507305,1.4700021743774414,0.9310344827586207,-100,100,0.8244117647058824,-100,10
105,0.3516092065580223,1.5550000667572021,0.9280117531831538,-100,10,0.8472782258064516,-100,1
106,0.34809311449244207,1.3280203342437744,0.9387665198237886,-100,100,0.7611386138613861,-100,10
107,0.34461218334751764,1.1990265846252441,0.9536146064643474,-100,100,0.7356067316209035,-100,10
108,0.34116606151404244,1.290013074874878,0.9620424762765477,-100,100,0.7444349315068494,-100,10
109,0.337754400898902,1.3840100765228271,0.9379961381677752,-100,100,0.7481012658227848,-100,10
110,0.334376856889913,1.2790148258209229,0.9294674556213017,-100,100,0.7711480362537765,-100,1
111,0.33103308832101386,1.5620052814483643,0.9419943515098849,-100,10,0.8390772651473041,-100,10
112,0.3277227574378037,1.5430042743682861,0.9111111111111111,-100,100,0.83207656612529,-100,10
113,0.3244455298634257,1.4570119380950928,0.9617297297297297,-100,100,0.7846320346320347,-100,10
114,0.3212010745647914,1.89101243019104,0.9555240123018689,-100,100,0.6778309409888357,-100,1
115,0.3179890638191435,2.1750123500823975,0.9556057185854026,-100,100,0.8087724834332597,-100,1
116,0.31480917318095203,2.166001558303833,0.9250181994661489,-100,100,0.8108716629141203,-100,10
117,0.3116610814491425,2.1180126667022705,0.9332204210016937,-100,10,0.7959671907040328,-100,10
118,0.30854447063465107,2.420088291168213,0.8809980806142035,-100,10,0.8435321456235476,-100,1
119,0.30545902592830454,2.143003463745117,0.9356781498434112,-100,10,0.7863187588152327,-100,1
